Molecular Size (nm),Estimated Glucose Units,Estimated FITC Molecules,Isothiocyanate Groups,Aromatic Rings,Ethers (in FITC),Carboxylic Acids (in FITC),Hydroxyl Groups (in Dextran),Glycosidic Bonds,Thiourea Linkages
0.92,2,0,0,0,0,0,6,1,0
1,2,0,0,0,0,0,6,1,0
1.11,2,0,0,0,0,0,6,1,0
1.27,3,0,0,0,0,0,9,2,0
1.3,3,0,0,0,0,0,9,2,0
1.46,3,0,0,0,0,0,9,2,0
1.53,3,0,0,0,0,0,9,2,0
1.69,3,0,0,0,0,0,9,2,0
1.9,4,0,0,0,0,0,12,3,0
1.91,4,0,0,0,0,0,12,3,0
2,4,0,0,0,0,0,12,3,0
2.22,4,0,0,0,0,0,12,3,0
2.59,5,0,0,0,0,0,15,4,0
2.8,6,1,1,3,2,2,18,5,1
2.9,6,1,1,3,2,2,18,5,1
3.5,7,1,1,3,2,2,21,6,1
4.5,9,1,1,3,2,2,27,8,1
8.3,17,2,2,6,4,4,51,16,2
19.4,39,4,4,12,8,8,117,38,4
32.8,66,7,7,21,14,14,198,65,7
